language,algorithm,instance_id,case,n,run,target,sum_values,exists,recursive_calls,time_seconds,time_ms
Python,Backtracking,1,best,8,1,1000,3567,true,2,0.0000148000,0.014800
Python,Backtracking,2,best,8,2,1000,2515,true,2,0.0000054000,0.005400
Python,Backtracking,3,best,8,3,1000,2684,true,2,0.0000029000,0.002900
Python,Backtracking,4,best,8,4,1000,2291,true,2,0.0000019000,0.001900
Python,Backtracking,5,best,8,5,1000,3039,true,2,0.0000016000,0.001600
Python,Backtracking,6,best,8,6,1000,2399,true,2,0.0000018000,0.001800
Python,Backtracking,7,best,8,7,1000,3111,true,2,0.0000016000,0.001600
Python,Backtracking,8,best,8,8,1000,2551,true,2,0.0000011000,0.001100
Python,Backtracking,9,best,8,9,1000,3156,true,2,0.0000013000,0.001300
Python,Backtracking,10,best,8,10,1000,2446,true,2,0.0000011000,0.001100
Python,Backtracking,11,best,8,11,1000,3517,true,2,0.0000013000,0.001300
Python,Backtracking,12,best,8,12,1000,3161,true,2,0.0000010000,0.001000
Python,Backtracking,13,best,8,13,1000,2284,true,2,0.0000011000,0.001100
Python,Backtracking,14,best,8,14,1000,2333,true,2,0.0000012000,0.001200
Python,Backtracking,15,best,8,15,1000,2777,true,2,0.0000016000,0.001600
Python,Backtracking,16,best,8,16,1000,2788,true,2,0.0000009999,0.001000
Python,Backtracking,17,best,8,17,1000,3147,true,2,0.0000010000,0.001000
Python,Backtracking,18,best,8,18,1000,2812,true,2,0.0000013000,0.001300
Python,Backtracking,19,best,8,19,1000,2028,true,2,0.0000010000,0.001000
Python,Backtracking,20,best,8,20,1000,3072,true,2,0.0000008999,0.000900
Python,Backtracking,21,best,8,21,1000,3108,true,2,0.0000016000,0.001600
Python,Backtracking,22,best,8,22,1000,2821,true,2,0.0000011000,0.001100
Python,Backtracking,23,best,8,23,1000,2854,true,2,0.0000010000,0.001000
Python,Backtracking,24,best,8,24,1000,3262,true,2,0.0000009999,0.001000
Python,Backtracking,25,best,8,25,1000,2961,true,2,0.0000008000,0.000800
Python,Backtracking,26,best,8,26,1000,2272,true,2,0.0000012000,0.001200
Python,Backtracking,27,best,8,27,1000,2727,true,2,0.0000010000,0.001000
Python,Backtracking,28,best,8,28,1000,3008,true,2,0.0000010000,0.001000
Python,Backtracking,29,best,8,29,1000,3103,true,2,0.0000012000,0.001200
Python,Backtracking,30,best,8,30,1000,2779,true,2,0.0000010000,0.001000
Python,Backtracking,31,best,10,1,1000,2895,true,2,0.0000011000,0.001100
Python,Backtracking,32,best,10,2,1000,3023,true,2,0.0000009999,0.001000
Python,Backtracking,33,best,10,3,1000,3076,true,2,0.0000012000,0.001200
Python,Backtracking,34,best,10,4,1000,3766,true,2,0.0000009000,0.000900
Python,Backtracking,35,best,10,5,1000,3246,true,2,0.0000010000,0.001000
Python,Backtracking,36,best,10,6,1000,2998,true,2,0.0000012000,0.001200
Python,Backtracking,37,best,10,7,1000,3819,true,2,0.0000010000,0.001000
Python,Backtracking,38,best,10,8,1000,3156,true,2,0.0000011000,0.001100
Python,Backtracking,39,best,10,9,1000,3420,true,2,0.0000009000,0.000900
Python,Backtracking,40,best,10,10,1000,3149,true,2,0.0000009000,0.000900
Python,Backtracking,41,best,10,11,1000,3176,true,2,0.0000010000,0.001000
Python,Backtracking,42,best,10,12,1000,2976,true,2,0.0000011000,0.001100
Python,Backtracking,43,best,10,13,1000,3309,true,2,0.0000010000,0.001000
Python,Backtracking,44,best,10,14,1000,2716,true,2,0.0000011000,0.001100
Python,Backtracking,45,best,10,15,1000,3096,true,2,0.0000010000,0.001000
Python,Backtracking,46,best,10,16,1000,3299,true,2,0.0000010000,0.001000
Python,Backtracking,47,best,10,17,1000,3368,true,2,0.0000009000,0.000900
Python,Backtracking,48,best,10,18,1000,3561,true,2,0.0000011000,0.001100
Python,Backtracking,49,best,10,19,1000,3893,true,2,0.0000009000,0.000900
Python,Backtracking,50,best,10,20,1000,3425,true,2,0.0000010000,0.001000
Python,Backtracking,51,best,10,21,1000,3011,true,2,0.0000012000,0.001200
Python,Backtracking,52,best,10,22,1000,2569,true,2,0.0000010000,0.001000
Python,Backtracking,53,best,10,23,1000,3206,true,2,0.0000008999,0.000900
Python,Backtracking,54,best,10,24,1000,4150,true,2,0.0000011000,0.001100
Python,Backtracking,55,best,10,25,1000,3260,true,2,0.0000010000,0.001000
Python,Backtracking,56,best,10,26,1000,4015,true,2,0.0000009000,0.000900
Python,Backtracking,57,best,10,27,1000,3115,true,2,0.0000009000,0.000900
Python,Backtracking,58,best,10,28,1000,3672,true,2,0.0000009000,0.000900
Python,Backtracking,59,best,10,29,1000,3249,true,2,0.0000009000,0.000900
Python,Backtracking,60,best,10,30,1000,2829,true,2,0.0000009000,0.000900
Python,Backtracking,61,best,12,1,1000,3680,true,2,0.0000010000,0.001000
Python,Backtracking,62,best,12,2,1000,3462,true,2,0.0000008999,0.000900
Python,Backtracking,63,best,12,3,1000,3528,true,2,0.0000009000,0.000900
Python,Backtracking,64,best,12,4,1000,3110,true,2,0.0000009000,0.000900
Python,Backtracking,65,best,12,5,1000,3498,true,2,0.0000009000,0.000900
Python,Backtracking,66,best,12,6,1000,3501,true,2,0.0000008999,0.000900
Python,Backtracking,67,best,12,7,1000,3952,true,2,0.0000802000,0.080200
Python,Backtracking,68,best,12,8,1000,4330,true,2,0.0000010000,0.001000
Python,Backtracking,69,best,12,9,1000,3245,true,2,0.0000008000,0.000800
Python,Backtracking,70,best,12,10,1000,3463,true,2,0.0000009000,0.000900
Python,Backtracking,71,best,12,11,1000,3039,true,2,0.0000010000,0.001000
Python,Backtracking,72,best,12,12,1000,3520,true,2,0.0000009000,0.000900
Python,Backtracking,73,best,12,13,1000,4549,true,2,0.0000008999,0.000900
Python,Backtracking,74,best,12,14,1000,3394,true,2,0.0000009000,0.000900
Python,Backtracking,75,best,12,15,1000,3673,true,2,0.0000008000,0.000800
Python,Backtracking,76,best,12,16,1000,4448,true,2,0.0000008000,0.000800
Python,Backtracking,77,best,12,17,1000,4550,true,2,0.0000009000,0.000900
Python,Backtracking,78,best,12,18,1000,3262,true,2,0.0000011000,0.001100
Python,Backtracking,79,best,12,19,1000,3773,true,2,0.0000009000,0.000900
Python,Backtracking,80,best,12,20,1000,4036,true,2,0.0000009000,0.000900
Python,Backtracking,81,best,12,21,1000,3202,true,2,0.0000009000,0.000900
Python,Backtracking,82,best,12,22,1000,3804,true,2,0.0000008999,0.000900
Python,Backtracking,83,best,12,23,1000,3803,true,2,0.0000009000,0.000900
Python,Backtracking,84,best,12,24,1000,3632,true,2,0.0000009000,0.000900
Python,Backtracking,85,best,12,25,1000,3694,true,2,0.0000009000,0.000900
Python,Backtracking,86,best,12,26,1000,4108,true,2,0.0000008000,0.000800
Python,Backtracking,87,best,12,27,1000,3667,true,2,0.0000009000,0.000900
Python,Backtracking,88,best,12,28,1000,4322,true,2,0.0000008000,0.000800
Python,Backtracking,89,best,12,29,1000,2983,true,2,0.0000008000,0.000800
Python,Backtracking,90,best,12,30,1000,4481,true,2,0.0000009000,0.000900
Python,Backtracking,91,best,14,1,1000,4286,true,2,0.0000009999,0.001000
Python,Backtracking,92,best,14,2,1000,3822,true,2,0.0000009000,0.000900
Python,Backtracking,93,best,14,3,1000,5340,true,2,0.0000010000,0.001000
Python,Backtracking,94,best,14,4,1000,4603,true,2,0.0000009000,0.000900
Python,Backtracking,95,best,14,5,1000,3942,true,2,0.0000009000,0.000900
Python,Backtracking,96,best,14,6,1000,3989,true,2,0.0000009000,0.000900
Python,Backtracking,97,best,14,7,1000,4304,true,2,0.0000009000,0.000900
Python,Backtracking,98,best,14,8,1000,4648,true,2,0.0000008000,0.000800
Python,Backtracking,99,best,14,9,1000,4741,true,2,0.0000009000,0.000900
Python,Backtracking,100,best,14,10,1000,4346,true,2,0.0000009000,0.000900
Python,Backtracking,101,best,14,11,1000,4707,true,2,0.0000009000,0.000900
Python,Backtracking,102,best,14,12,1000,3852,true,2,0.0000009000,0.000900
Python,Backtracking,103,best,14,13,1000,4780,true,2,0.0000010000,0.001000
Python,Backtracking,104,best,14,14,1000,3513,true,2,0.0000009000,0.000900
Python,Backtracking,105,best,14,15,1000,3700,true,2,0.0000008999,0.000900
Python,Backtracking,106,best,14,16,1000,4507,true,2,0.0000009000,0.000900
Python,Backtracking,107,best,14,17,1000,3960,true,2,0.0000009000,0.000900
Python,Backtracking,108,best,14,18,1000,4738,true,2,0.0000009000,0.000900
Python,Backtracking,109,best,14,19,1000,5039,true,2,0.0000009000,0.000900
Python,Backtracking,110,best,14,20,1000,3490,true,2,0.0000009000,0.000900
Python,Backtracking,111,best,14,21,1000,4888,true,2,0.0000009000,0.000900
Python,Backtracking,112,best,14,22,1000,4016,true,2,0.0000009000,0.000900
Python,Backtracking,113,best,14,23,1000,4286,true,2,0.0000009000,0.000900
Python,Backtracking,114,best,14,24,1000,3941,true,2,0.0000008000,0.000800
Python,Backtracking,115,best,14,25,1000,4155,true,2,0.0000009000,0.000900
Python,Backtracking,116,best,14,26,1000,4226,true,2,0.0000008000,0.000800
Python,Backtracking,117,best,14,27,1000,4587,true,2,0.0000009000,0.000900
Python,Backtracking,118,best,14,28,1000,4116,true,2,0.0000011000,0.001100
